lenovo|Ноутбук AMD Ryzen 7 3700U/16 ГБ/256 Гб/14''/1920x1080/AMD Radeon RX Vega 10/Windows|//images.wbstatic.net/c252x336/new/12180000/12189024-1.jpg|94 491 ₽|-16%
Asus|Ноутбук Intel Core i5 10210U/8 ГБ/256 Гб/14''/1920x1080/Intel UHD Graphics/Windows|//images.wbstatic.net/c252x336/new/14630000/14633623-1.jpg|54 510 ₽|-6%
lenovo|Ноутбук Intel Core i7 8565U/16 ГБ/512 Гб/14''/2560x1440/Intel UHD Graphics 620/Windows|//images.wbstatic.net/c252x336/new/12180000/12189025-1.jpg|158 516 ₽|-15%
lenovo|Ноутбук Intel Core i7 8565U/16 ГБ/512 Гб/14''/1920x1080/Intel UHD Graphics 620/Windows|//images.wbstatic.net/c252x336/new/12180000/12189026-1.jpg|147 831 ₽|-16%
lenovo|Ноутбук Intel Core i5 9300H/8 ГБ/1000 Гб/128 Гб/17.3''/1920x1080/NVIDIA GeForce GTX 1650/DOS|//images.wbstatic.net/c252x336/new/11840000/11848864-1.jpg|76 851 ₽|-16%
lenovo|Ноутбук Intel Core i7 8565U/16 ГБ/512 Гб/14''/1920x1080/Intel UHD Graphics 620/Windows|//images.wbstatic.net/c252x336/new/12180000/12189027-1.jpg|156 231 ₽|-16%
lenovo|Ноутбук Intel Core i5 9300HF/8 ГБ/256 Гб/15.6''/1920x1080/NVIDIA GeForce GTX 1650/DOS|//images.wbstatic.net/c252x336/new/12770000/12777227-1.jpg|70 081 ₽|-14%
lenovo|Ноутбук Intel Core i7 8565U/16 ГБ/512 Гб/14''/1920x1080/Intel UHD Graphics 620/Windows|//images.wbstatic.net/c252x336/new/12180000/12189028-1.jpg|146 151 ₽|-16%
Asus|Ноутбук Intel Core i7 1065G7/8 ГБ/512 Гб/13.3''/1920x1080/Intel Iris Plus Graphics/Windows|//images.wbstatic.net/c252x336/new/13800000/13808583-1.jpg|77 340 ₽|-9%
Acer|Ноутбук Intel Core i7 10510U/8 ГБ/512 Гб/14''/1920x1080/NVIDIA GeForce MX250/Windows|//images.wbstatic.net/c252x336/new/12720000/12729589-1.jpg|68 791 ₽|-14%
lenovo|Ноутбук Intel Core i7 8565U/16 ГБ/512 Гб/13.3''/1920x1080/Intel UHD Graphics 620/Windows|//images.wbstatic.net/c252x336/new/12180000/12189029-1.jpg|122 816 ₽|-15%
Acer|Ноутбук Intel Core i3 1005G1/8 ГБ/256 Гб/14''/1920x1080/Intel UHD Graphics/Windows|//images.wbstatic.net/c252x336/new/12070000/12077241-1.jpg|50 692 ₽|-22%
lenovo|Ноутбук Intel Core i7 8565U/8 ГБ/256 Гб/14''/1920x1080/Intel UHD Graphics 620/Windows|//images.wbstatic.net/c252x336/new/12180000/12189030-1.jpg|109 641 ₽|-15%
MSI|Ноутбук Intel Core i5 10300H/8 ГБ/512 Гб/17.3''/1920x1080/NVIDIA GeForce GTX 1650/Windows|//images.wbstatic.net/c252x336/new/14960000/14960887-1.jpg|78 840 ₽|-5%
lenovo|Ноутбук Intel Core i7 8565U/16 ГБ/512 Гб/14''/1920x1080/Intel UHD Graphics 620/Windows|//images.wbstatic.net/c252x336/new/12180000/12189031-1.jpg|150 351 ₽|-16%
Asus|Ноутбук Intel Core i3 1005G1/8 ГБ/256 Гб/14''/1920x1080/Intel UHD Graphics/Windows|//images.wbstatic.net/c252x336/new/15530000/15530908-1.jpg|55 171 ₽|-11%
MSI|Ноутбук Intel Core i5 1135G7/8 ГБ/512 Гб/15.6''/1920x1080/NVIDIA GeForce MX450/Windows|//images.wbstatic.net/c252x336/new/17890000/17892538-1.jpg|78 080 ₽|-5%
lenovo|Ноутбук Intel Core i7 8565U/16 ГБ/256 Гб/14''/2560x1440/Intel UHD Graphics 620/Windows|//images.wbstatic.net/c252x336/new/12180000/12189032-1.jpg|147 831 ₽|-16%
lenovo|Ноутбук Intel Core i7 8565U/16 ГБ/512 Гб/14''/3840x2160/Intel UHD Graphics 620/Windows|//images.wbstatic.net/c252x336/new/12180000/12189033-1.jpg|156 231 ₽|-16%
MSI|Ноутбук Intel Core i7 10510U/8 ГБ/512 Гб/14''/1920x1080/Intel UHD Graphics 620/Windows|//images.wbstatic.net/c252x336/new/14710000/14713410-1.jpg|71 750 ₽|-8%
lenovo|Ноутбук Intel Core i7 8565U/16 ГБ/512 Гб/14''/1920x1080/Intel UHD Graphics 620/Windows|//images.wbstatic.net/c252x336/new/12180000/12189034-1.jpg|153 711 ₽|-16%
MSI|Ноутбук 8 ГБ/512 Гб/15.6''/1920x1080/AMD Radeon RX 5500M/Windows|//images.wbstatic.net/c252x336/new/14240000/14240107-1.jpg|74 791 ₽|-15%
Acer|Ноутбук Intel Core i7 10510U/16 ГБ/1024 Гб/14''/1920x1080/Intel UHD Graphics/Windows|//images.wbstatic.net/c252x336/new/13670000/13676269-1.jpg|151 641 ₽|-10%
lenovo|Ноутбук Intel Core i7 8565U/16 ГБ/512 Гб/14''/1920x1080/Intel UHD Graphics 620/Windows|//images.wbstatic.net/c252x336/new/12180000/12189035-1.jpg|161 491 ₽|-15%
Asus|Ноутбук Intel Core i5 1035G1/8 ГБ/256 Гб/13.3''/1920x1080/Intel UHD Graphics/Windows|//images.wbstatic.net/c252x336/new/14630000/14633627-1.jpg|65 851 ₽|-11%
